name,brand,description,price,imageUrl,sizesCsv,stockQty
Nike Air Max 90,Nike,"Iconic waffle sole with visible Air unit. A timeless classic that defined street culture.",10995,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,11,12,45
Nike Air Force 1 '07,Nike,"The shoe that started it all. Crisp leather upper on a bold cupsole.",8495,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,11,30
Nike Dunk Low Retro,Nike,"Street and skate heritage. Premium leather with grippy herringbone sole.",9495,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,25
Nike Air Jordan 1 Low,Nike,"Court-to-street royalty. Perforated leather with ankle collar cushioning.",8995,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,15
Nike Air Max 270,Nike,"Max Air heel unit delivers all-day cushioning with a modern silhouette.",11495,https://images.unsplash.com/photo-1571945153237-4929e783af4a?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,20
Adidas Ultraboost 22,Adidas,"Responsive Boost midsole returns energy on every stride. Premium Primeknit upper.",14999,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,20
Adidas Stan Smith,Adidas,"Minimalist tennis legacy. Perforated leather with three-stripe branding.",7999,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,40
Adidas Superstar,Adidas,"Shell-toe legend born on the court. Smooth leather with serrated sole.",6999,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,35
Adidas Samba OG,Adidas,"Vintage football silhouette with suede toe cap and gum outsole. Back bigger than ever.",8999,https://images.unsplash.com/photo-1587563871167-1ee9c2179700?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,18
Converse Chuck 70 High,Converse,"Elevated take on the original. Canvas upper with star-chevron outsole.",5995,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,11,50
Converse Run Star Hike,Converse,"Chunky platform sole fused with the classic Chuck Taylor silhouette.",7495,https://images.unsplash.com/photo-1512374382149-233c42b6a83b?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,22
Vans Old Skool,Vans,"The original skate shoe. Canvas and suede upper with the iconic side stripe.",5499,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,11,60
Vans Sk8-Hi,Vans,"High-top silhouette with padded collar for ankle support on the board.",6299,https://images.unsplash.com/photo-1556906781-9a412961a28c?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,28
Puma Speedcat OG,Puma,"Racing-inspired archive silhouette. Low-profile suede with motorsport DNA.",7499,https://images.unsplash.com/photo-1603808033192-082d6919d3e1?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,32
Puma Suede Classic XXI,Puma,"Iconic suede upper that has graced courts and streets since 1968.",5999,https://images.unsplash.com/photo-1539185441755-769473a23570?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,40
ASICS Gel-Kayano 29,ASICS,"Premium stability running shoe with dual-density foam and Gel technology.",12999,https://images.unsplash.com/photo-1631984571606-95893b6f2f29?w=600&q=80&auto=format&fit=crop,7,8,9,10,11,12
ASICS Gel-Nimbus 24,ASICS,"Maximum cushioning long-run shoe with FF BLAST PLUS midsole foam.",14499,https://images.unsplash.com/photo-1606890542090-b8a65e4b5bdb?w=600&q=80&auto=format&fit=crop,7,8,9,10,10
New Balance 574 Core,New Balance,"Classic lifestyle silhouette with ENCAP midsole technology. Built to last.",7495,https://images.unsplash.com/photo-1584735175315-9d5df23be620?w=600&q=80&auto=format&fit=crop,6,7,8,9,10,11,38
New Balance 550 Basketball,New Balance,"Court-to-street throwback with leather upper and vintage sole unit.",8995,https://images.unsplash.com/photo-1556906918-6dca22c35e88?w=600&q=80&auto=format&fit=crop,7,8,9,10,20
Adidas ZX 8000,Adidas,"Archive runner reborn. Bold colour-blocking on TORSION SYSTEM base.",9999,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&q=80&auto=format&fit=crop,,0
